question,response
What is the maximum cargo weight allowed for a 40-foot container according to CHERRY shipping line?,The maximum cargo weight allowed for a 40-foot container is 26 tons.
What are the maximum gross weight limitations for a 20' and 40' container as per CHERRY shipping line's requirements?,"The maximum gross weight for a 20' container is 24,000 kg, and the maximum gross weight for a 40' container is 30,480 kg.  Overweight containers require special approval and may incur additional charges."
What type of certificates are required for agricultural and animal products being shipped to Argentina?,"Agricultural products may require phytosanitary certificates from SENASA (Servicio Nacional de Sanidad y Calidad Agroalimentaria), while animal products may require veterinary health certificates from SENASA."
What Indonesian law governs shipments handled by CHERRY shipping line?,Shipments must comply with Indonesian Customs Law No 17/2006.
What contact information is mandatory for both the shipper and consignee when submitting ACI details to CHERRY shipping line?,"For both the shipper and consignee, an email address and a phone number with the country and area code are mandatory."
What is the minimum advance manifest submission time for import shipments handled by CHERRY shipping line?,The minimum advance manifest submission time for import shipments is 48 hours before the vessel's arrival.
What currency is preferred for local charges when shipping to Russia with CHERRY shipping line?,The preferred currency for local charges when shipping to Russia with CHERRY shipping line is Rubles (RUB).
What Indonesian law governs shipments handled by CHERRY shipping line?,Shipments handled by CHERRY shipping line must comply with Indonesian Customs Law No 17/2006.
What is the required system for filing import declarations in Argentina?,Import declarations must be filed through the Customs IT System (SIM - Sistema Informático MALVINA).
What tax code information is required for Vietnamese shippers and consignees when shipping with CHERRY?,CHERRY requires the tax code for both Vietnamese shippers and consignees.
What is the maximum allowed length for a CHERRY shipping line bill of lading (B/L) number?,The maximum length for a CHERRY shipping line B/L number is 20 characters.
What contact information is mandatory for both the shipper and consignee when providing details for a shipment with CHERRY shipping line?,"For both the shipper and consignee, a phone number with the country and area code and an email address are mandatory."
What regulations apply to wood packaging when shipping to Jordan?,Wood packaging must comply with ISPM 15 regulations and have proper marking indicating heat treatment or fumigation.
