question,response
What documentation is required for customs clearance in Brazil?,"Customs clearance in Brazil requires a pro-forma invoice, commercial invoice, packing list, and bill of lading."
What are the maximum gross weight limits for 20' and 40' containers shipped by CHERRY shipping line?,"The maximum gross weight for 20' containers is 24,000 kg, and the maximum gross weight for 40' containers is 30,480 kg. Overweight containers require special approval and may incur additional charges."
What types of payment terms are accepted by CHERRY shipping line for shipments to South Africa?,CHERRY shipping line accepts both prepaid and collect shipments for deliveries to South Africa.
What is the deadline for submitting an Electronic Export Declaration (DU-E) for Brazilian exports shipped by CHERRY?,The Electronic Export Declaration (DU-E) must be submitted 24 hours before vessel departure.
What is the free time allowed for import demurrage for a 20' dry container in the United States?,The free time allowed for import demurrage for a 20' dry container is 5 calendar days from discharge.
What is the contact information for CHERRY Shipping Line's South Korea office?,"The South Korea office address, phone number, and email address are provided in the text. Please refer to the document for the specific details."
What is the required system for filing import declarations for shipments to India?,Import declarations must be filed through the Indian Customs EDI System (ICES).
What packaging details are required for containerized cargo shipped by CHERRY shipping line?,"For containerized cargo, CHERRY shipping line requires the container number(s), seal number(s), container size, and type."
What contact information is required for shippers when submitting documentation to CHERRY Shipping Line for shipments to Brazil?,Shippers must provide a phone number and an email address.
What language requirements are there for the inventory list of personal effects being shipped to China?,A detailed inventory list for personal effects shipped to China must be provided in both English and Chinese.
What documentation is required for customs clearance in Djibouti?,"Customs clearance in Djibouti must be handled by a licensed customs broker and requires the following documents: Commercial Invoice, Packing List, Bill of Lading, Import License (if applicable), and Certificate of Origin (if applicable)."
What are the normal working hours for customs at Dar es Salaam Port?,"Customs at Dar es Salaam Port operates 24/7. Document processing occurs from 08:00 to 17:00 on Monday to Friday, 08:00 to 13:00 on Saturday, and on an on-call basis on Sundays and Public Holidays."
What are the normal working hours for customs at Dar es Salaam Port?,"Customs at Dar es Salaam Port operates 24/7. Document processing occurs from 08:00 to 17:00 on Monday to Friday, 08:00 to 13:00 on Saturday, and on an on-call basis on Sundays and Public Holidays."
What are the documentation requirements for importing vehicles into Djibouti?,Importing vehicles into Djibouti may require special documentation.  New vehicles must meet Djibouti's safety and emission standards.  Import of used vehicles may be restricted.
What contact information should be used for queries or clarifications regarding shipments to/from India for CHERRY Shipping Line?,"You can contact the CHERRY Shipping Line India Office at the following: Address: [Insert detailed address], Phone: [Insert phone number], Email: [Insert email address], Operating Hours: [Insert hours]. For 24/7 emergencies, contact [Insert emergency number]."
What is the required lead time for submitting an Entry Summary Declaration (ENS) for goods entering the UK via container shipping?,The ENS must be submitted at least 24 hours before loading.
What are the import restrictions on plastic scrap in Taiwan?,The Environmental Protection Administration of Taiwan (EPA) has published import restrictions on plastic scraps. Importers in Taiwan need to be factories registered with the Taiwan Government Authority.  Violations result in cargo return to origin and penalties.
What are the documentation requirements for shipping waste and scrap materials with CHERRY shipping line?,Acceptance of waste and scrap materials is subject to the destination country's regulations. Additional documentation may be required for such shipments.
What is the required free time for Full Container Load (FCL) shipments at the port?,The free time for Full Container Load (FCL) shipments at the port is 3 days.
What are the mandatory contact details required for the notify party in shipments handled by CHERRY shipping line?,"The notify party must provide a full name and complete address, along with a mandatory phone number and email address."
What specific US regulations must be followed when shipping food products with CHERRY shipping line?,"When shipping food products to the US, compliance with the FDA's Food Safety Modernization Act (FSMA) is required. This includes maintaining time/temperature logs and ensuring cold chain integrity during customs inspections."
What packaging details are required for containerized cargo shipped by CHERRY shipping line?,"For containerized cargo, the following packaging details are required: container number(s), seal number(s), container size, and container type."
What contact information is required for shippers when submitting documentation to CHERRY Shipping Line for shipments to Brazil?,Shippers must provide a phone number and an email address.
What type of information is required for the Notify Party in a shipment with CHERRY shipping line?,"The Notify Party must be an Indian-based organization with a full name, complete address, phone number, and email address. If the Notify Party is ""TO ORDER"" or ""BANK,"" a second notify party with an actual company name and address is required."
What contact information is mandatory for both shipper and consignee details when shipping with CHERRY Shipping Line to Taiwan?,Both telephone or fax number and email address are mandatory contact information for shipper and consignee details.
What languages are required for labeling imported goods to Malaysia?,All imported goods must be labeled in Bahasa Malaysia or English.
What specific regulations must be followed when shipping dangerous goods with CHERRY shipping line?,"Dangerous goods shipments must comply with IMDG regulations and CHERRY's internal policies. Additionally, they must adhere to German dangerous goods regulations."
What documentation is required for customs clearance in Brazil?,"Customs clearance in Brazil requires a pro-forma invoice, commercial invoice, packing list, and bill of lading."
What are the special regulations for reefer containers carrying food products when shipping with CHERRY?,Reefer containers carrying food products may require AVA (Agri-Food & Veterinary Authority) approval.
What is the minimum advance manifest submission time required for import shipments by CHERRY shipping line?,The minimum advance manifest submission time required for import shipments is 48 hours before the vessel's arrival.
What specific advance notifications are required for dangerous goods shipments arriving at Dutch ports?,"For dangerous goods shipments arriving at Dutch ports, advance notification must be given to port authorities 24 hours prior to arrival. Additionally, the vessel stow plan must be submitted 24 hours before arrival."
What is the required system for filing import declarations for shipments to India?,Import declarations must be filed through the Indian Customs EDI System (ICES).
What is the minimum advance notice required for submitting an import shipment manifest to CHERRY shipping line?,A minimum of 24 hours before the vessel's arrival.
What documentation is required for shipments containing dangerous goods to Qatar via CHERRY shipping line?,"Shipments of dangerous goods require proper documentation and labeling, adherence to IMDG regulations, advance booking, and approval from CHERRY."
What tax identification information is required for consignees and notify parties when shipping with CHERRY?,"Both consignees and notify parties must provide their full name, complete address, phone number, email address, and Tax ID (CUIT)."
What is the contact information for CHERRY Shipping Line's South Korea office?,"The South Korea office address, phone number, and email address are provided in the text. Please refer to the document for the specific details."
What company registration information is required for UK-based shippers and consignees when shipping with CHERRY?,UK-based shippers and consignees must provide their Company Registration Number.
Are customs operations in Tanzania typically open on public holidays?,"No, customs operations in Tanzania are typically closed on public holidays."
What is the document cut-off time for submitting an Original Bill of Lading to CHERRY shipping line?,"The document cut-off time for submitting an Original Bill of Lading is 12:00 noon, 2 working days before the vessel's estimated time of arrival."
What documentation is required for shipping dangerous goods to Vietnam via CHERRY shipping line?,A Dangerous Goods Declaration (in Vietnamese and English) and a Safety Data Sheet (SDS) in Vietnamese and English are required.
What are the specific regulations governing the import of used vehicles into Russia?,"The import of used vehicles into Russia is subject to specific regulations, which are not detailed in this document.  You should consult CHERRY shipping line or relevant Russian authorities for further information."
What information is required for the Notify Party Details section on a bill of lading for CHERRY shipping line?,"The Notify Party Details section requires the full name and complete address of the party, along with a phone number including the country and area code, and a mandatory email address. P.O. boxes are not accepted."
What special documentation is required when shipping personal effects and household goods to the U.S.?,"When shipping personal effects and household goods to the U.S., you will need a detailed inventory list, a valuation form, and a copy of your passport or government-issued ID. These shipments are also subject to U.S. Customs inspection."
